number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
28,0.32917972598838324,2026-09-14 23:18:20.113751,2026-09-14 23:19:36.542911,0 days 00:01:16.429160,,,,,32.0,0.20427794653432224,32,3,1,,,,,,,,,128,128,5,5,0.6042523602936727,7.0,1,SGD,0.02138883334735699,0.8091467973393419,0.0008810537766887082,,,,PRUNED
29,0.37255942247084706,2026-09-14 23:19:36.693582,2026-09-14 23:20:31.137232,0 days 00:00:54.443650,,,,,16.0,0.15849108982894242,16,3,2,,,,,,,,,64,32,3,5,0.4552205582878227,7.0,1,SGD,0.008444522253577282,0.7118390727022923,8.273472831793974e-05,,,,PRUNED
30,0.66772572324145,2026-09-14 23:20:31.290553,2026-09-14 23:23:28.146862,0 days 00:02:56.856309,,,,,64.0,0.12680324625018077,128,5,3,0.23681411147294104,64.0,7.0,3.0,,,,,128,64,3,7,0.4288051262860765,13.0,2,SGD,0.05837815995751738,0.8374683344797462,5.392822214349262e-06,49.0,0.667741935483871,0.667709510999029,COMPLETE
31,0.674452393266173,2026-09-14 23:23:28.306142,2026-09-14 23:26:25.848829,0 days 00:02:57.542687,,,,,64.0,0.12913002154632852,128,5,3,0.21254726343166114,64.0,7.0,3.0,,,,,128,64,3,7,0.5250062423648092,13.0,2,SGD,0.0719531808605366,0.849839254776462,5.3222587303181946e-06,49.0,0.6774193548387096,0.6714854316936363,COMPLETE
32,0.6522813145519472,2026-09-14 23:26:26.003208,2026-09-14 23:29:23.400351,0 days 00:02:57.397143,,,,,64.0,0.13872200196068163,128,5,3,0.21411171519946232,64.0,7.0,3.0,,,,,128,64,3,7,0.5469420800786949,13.0,2,SGD,0.06062375901012441,0.8511683162610555,4.1220822612412145e-06,45.0,0.6419354838709678,0.6626271452329265,COMPLETE
33,0.6740838554840742,2026-09-14 23:29:23.553069,2026-09-14 23:32:20.920521,0 days 00:02:57.367452,,,,,64.0,0.1319337350445851,128,5,3,0.2135079007688265,64.0,7.0,3.0,,,,,128,64,3,7,0.5482852747962818,17.0,2,SGD,0.06690152638876369,0.8527867477589802,3.654700170498752e-06,47.0,0.6580645161290323,0.6901031948391163,COMPLETE
34,0.36366853467188864,2026-09-14 23:32:21.071172,2026-09-14 23:32:55.106014,0 days 00:00:34.034842,,,,,64.0,0.1587048757431928,64,5,3,0.22294127808983566,64.0,7.0,3.0,,,,,128,64,3,7,0.5152143620372036,20.0,2,SGD,0.06948276598181048,0.8507886432888355,4.116297282380578e-06,,,,PRUNED
35,0.623127752561498,2026-09-14 23:32:55.260597,2026-09-14 23:35:52.747322,0 days 00:02:57.486725,0.9570210344506328,0.9009410644069563,0.00010125691741945705,1.4729506947331335e-06,64.0,0.24228839929852686,128,5,3,0.1879246755780514,64.0,7.0,3.0,,,,,128,64,3,7,0.6450346147088271,17.0,2,Adam,,,,46.0,0.6193548387096774,0.6269006664133187,COMPLETE
36,0.39368203384840394,2026-09-14 23:35:52.901279,2026-09-14 23:36:36.993556,0 days 00:00:44.092277,,,,,64.0,0.13529852923457547,16,5,3,0.2891514667276135,64.0,7.0,3.0,,,,,128,64,5,7,0.5349412095445643,15.0,2,SGD,0.06395605595531824,0.8342194295065007,4.056242764317473e-06,,,,PRUNED
37,0.2912043574800922,2026-09-14 23:36:37.148038,2026-09-14 23:37:36.182084,0 days 00:00:59.034046,,,,,32.0,0.22317109522534495,64,5,1,0.1835922409095435,64.0,7.0,3.0,,,,,128,64,7,7,0.4834384066384883,13.0,2,SGD,0.09584369180912299,0.8809395629743302,3.0990635126868326e-06,,,,PRUNED
