number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
22,0.625408056828771,2026-09-15 20:41:32.591180,2026-09-15 21:01:58.107730,0 days 00:20:25.516550,,,,,64.0,0.23292549837134147,64,7,3,0.30227352273073493,128.0,5.0,1.0,0.10247355810886033,16.0,7.0,3.0,128,128,7,5,0.6647560817296667,7.0,3,SGD,0.008848851230686017,0.842343558944314,7.670136307521906e-06,48.0,0.6193548387096774,0.6314612749478644,"{""batch_size"": 64, ""block_0_dropout"": 0.23292549837134147, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6647560817296667, ""lr_patience"": 7, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
23,0.3439957310503756,2026-09-15 21:01:58.203415,2026-09-15 21:06:03.471794,0 days 00:04:05.268379,,,,,64.0,0.191854788115438,64,7,3,0.29871872078151435,128.0,5.0,1.0,0.1020297333545082,16.0,7.0,3.0,128,128,7,5,0.6398071446018057,8.0,3,SGD,0.0021562824066322186,0.861714340883284,3.8327715495065045e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.191854788115438, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6398071446018057, ""lr_patience"": 8, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
24,0.6717277958872634,2026-09-15 21:06:03.575509,2026-09-15 21:24:29.799589,0 days 00:18:26.224080,,,,,64.0,0.10058025492166653,64,7,3,0.3049533364507798,64.0,5.0,1.0,0.10091023100878502,16.0,7.0,3.0,256,128,5,5,0.6638362500070718,7.0,3,SGD,0.008246486301291336,0.8377396342350055,1.6093969354468001e-06,48.0,0.667741935483871,0.6757136562906559,"{""batch_size"": 64, ""block_0_dropout"": 0.10058025492166653, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6638362500070718, ""lr_patience"": 7, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
25,0.3766164942087807,2026-09-15 21:24:29.895897,2026-09-15 21:32:12.477723,0 days 00:07:42.581826,,,,,64.0,0.12203063858911961,64,7,3,0.32896430443695657,64.0,5.0,1.0,,,,,256,128,5,3,0.6233507319103236,9.0,2,SGD,0.0014609111959052474,0.9129714441415477,1.1754670528911898e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.12203063858911961, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 3, ""lr_factor"": 0.6233507319103236, ""lr_patience"": 9, ""n_blocks"": 2, ""optimizer"": ""SGD""}",PRUNED
26,0.33844723090928563,2026-09-15 21:32:12.588245,2026-09-15 21:36:42.737778,0 days 00:04:30.149533,,,,,64.0,0.18318804867232724,128,7,3,0.49222376172752796,64.0,5.0,1.0,0.15137675806484552,16.0,7.0,3.0,128,128,7,7,0.4138509118432871,8.0,3,SGD,0.006661429094148953,0.9467847908734116,2.773118517404776e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.18318804867232724, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 7, ""lr_factor"": 0.4138509118432871, ""lr_patience"": 8, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
27,0.5494271885113917,2026-09-15 21:36:42.847849,2026-09-15 21:58:48.721962,0 days 00:22:05.874113,,,,,16.0,0.1306428337716928,128,3,3,0.2961993829883034,64.0,7.0,1.0,0.2060366714856916,128.0,7.0,3.0,128,128,7,5,0.5841466647431143,5.0,3,SGD,0.0006583769684628991,0.818894639510448,1.4473170199062502e-05,45.0,0.5483870967741935,0.55046728024859,"{""batch_size"": 16, ""block_0_dropout"": 0.1306428337716928, ""block_0_filters"": 128, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.5841466647431143, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
28,0.2926144712245585,2026-09-15 21:58:48.818351,2026-09-15 21:59:50.690853,0 days 00:01:01.872502,0.9844375506874995,0.9996498355100444,0.0014829849561859777,0.008610825110527494,64.0,0.13720546769179182,128,7,3,0.38615520596851116,16.0,3.0,1.0,0.10592025225701265,16.0,5.0,3.0,128,16,7,5,0.5822400395957372,10.0,3,Adam,,,,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.13720546769179182, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 16, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.5822400395957372, ""lr_patience"": 10, ""n_blocks"": 3, ""optimizer"": ""Adam""}",PRUNED
29,0.3491929488405291,2026-09-15 21:59:50.788449,2026-09-15 22:09:32.668655,0 days 00:09:41.880206,,,,,64.0,0.10109138360457486,128,7,2,0.3108743832627391,32.0,5.0,1.0,0.2234852969302843,16.0,7.0,3.0,128,128,7,5,0.6713393738125856,5.0,3,SGD,0.0031459791510714693,0.8529624784647807,2.183705467559277e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.10109138360457486, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6713393738125856, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
30,0.3846784330299773,2026-09-15 22:09:32.763977,2026-09-15 22:19:40.720810,0 days 00:10:07.956833,,,,,64.0,0.16691945350221665,64,7,1,0.2772817335287325,64.0,5.0,1.0,0.15874502381976419,16.0,7.0,3.0,256,32,5,5,0.6815434207522717,5.0,3,SGD,0.01952559819197046,0.890532409329807,1.666219109553867e-05,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.16691945350221665, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 1, ""fc_hidden"": ""256"", ""first_conv_filters"": 32, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6815434207522717, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
31,0.7370821211318349,2026-09-15 22:19:40.830704,2026-09-15 22:29:29.936620,0 days 00:09:49.105916,,,,,64.0,0.10501298905076069,64,7,3,0.3313656313705699,128.0,5.0,1.0,0.1042233365539886,16.0,7.0,3.0,256,64,5,5,0.641790902681349,5.0,3,SGD,0.01013258578006293,0.8351350640321029,6.073462860116399e-06,49.0,0.7354838709677419,0.7386803712959279,"{""batch_size"": 64, ""block_0_dropout"": 0.10501298905076069, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.641790902681349, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
