number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
28,0.4810193174668322,2026-09-16 13:51:25.096264,2026-09-16 13:56:40.824997,0 days 00:05:15.728733,0.9198985638547493,0.9146622173027529,0.001018009395366031,0.0006276698367192498,32.0,0.201644025007569,16,5,2,0.16098763471509986,32,3,3,,,,,,,,,256,32,5,0.4228107235971167,16.0,2,Adam,,,,37.0,0.4838709677419355,0.4781676671917289,"{""block_0_dropout"": 0.201644025007569, ""block_0_filters"": 16, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.16098763471509986, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
29,0.5218867585384434,2026-09-16 13:56:40.960644,2026-09-16 14:06:11.625658,0 days 00:09:30.665014,0.9551723611291331,0.9030906773036796,0.0003737393775143555,0.0005162741902165032,32.0,0.12030838724465613,32,5,2,0.11927552872232491,32,3,3,,,,,,,,,128,64,5,0.5032522605536915,13.0,2,Adam,,,,48.0,0.5225806451612903,0.5211928719155964,"{""block_0_dropout"": 0.12030838724465613, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.11927552872232491, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
30,0.23716110374454524,2026-09-16 14:06:11.753053,2026-09-16 14:07:11.928007,0 days 00:01:00.174954,,,,,128.0,0.11929762901027194,32,5,2,0.10693375175383793,32,3,3,,,,,,,,,128,32,5,0.5011440578126312,13.0,2,SGD,0.000786697258711029,0.8881712230842548,9.681977466342341e-06,,,,"{""block_0_dropout"": 0.11929762901027194, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.10693375175383793, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",PRUNED
31,,2026-09-16 14:07:12.045776,2026-09-16 14:07:12.179390,0 days 00:00:00.133614,,,,,,0.15946986772804495,32,5,3,0.16085795349617715,32,3,3,0.45340183700263176,64.0,3.0,2.0,0.39933053585532924,64.0,3.0,2.0,,32,3,,,4,,,,,,,,"{""block_0_dropout"": 0.15946986772804495, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.16085795349617715, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 3, ""n_blocks"": 4}",PRUNED
32,0.3705940304130985,2026-09-16 14:07:12.290750,2026-09-16 14:09:03.459785,0 days 00:01:51.169035,0.9611529832824688,0.9002724253843806,0.00034201598703107394,0.0004925075837655853,32.0,0.1879890223933344,32,5,2,0.15177924049532673,32,3,3,0.32949025266046295,32.0,3.0,1.0,,,,,128,32,5,0.45693194609589377,14.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.1879890223933344, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.15177924049532673, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",PRUNED
33,0.36553797472275046,2026-09-16 14:09:03.587530,2026-09-16 14:10:55.036239,0 days 00:01:51.448709,0.9234201641583242,0.9152099316037249,0.0007231790145040268,0.0019240553621572508,32.0,0.11818109907626359,32,5,3,0.3187648047993373,32,3,3,,,,,,,,,128,16,3,0.6262040441490003,11.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.11818109907626359, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.3187648047993373, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 3, ""n_blocks"": 2}",PRUNED
34,0.38559259817170266,2026-09-16 14:10:55.161093,2026-09-16 14:13:18.713982,0 days 00:02:23.552889,0.9535219204738465,0.9158466022978853,0.00022988888815988348,0.00018783508004420105,32.0,0.10900067533566941,32,5,3,0.19310882177842323,32,3,3,,,,,,,,,128,32,3,0.540920780827715,13.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.10900067533566941, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.19310882177842323, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 3, ""n_blocks"": 2}",PRUNED
35,0.23251652201951134,2026-09-16 14:13:18.848170,2026-09-16 14:15:24.426039,0 days 00:02:05.577869,0.9649088604810709,0.9064541317291678,0.00044903736694868753,0.0013568125351289385,256.0,0.24038565842194395,32,5,2,0.14908775635879956,16,3,3,0.4976391626618667,64.0,3.0,2.0,,,,,64,64,5,0.6001566147864419,16.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.24038565842194395, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.14908775635879956, ""block_1_filters"": 16, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",PRUNED
36,0.48607978800370927,2026-09-16 14:15:24.558479,2026-09-16 14:20:48.334378,0 days 00:05:23.775899,0.9278859048098602,0.9199478344692809,0.001213269484508365,0.00036565340890542625,32.0,0.19071599672822465,32,5,2,0.27945976773897047,32,5,3,,,,,,,,,256,32,5,0.3978460783450634,14.0,2,Adam,,,,43.0,0.4935483870967742,0.47861118891064436,"{""block_0_dropout"": 0.19071599672822465, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.27945976773897047, ""block_1_filters"": 32, ""block_1_kernel"": 5, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
37,,2026-09-16 14:20:48.461019,2026-09-16 14:20:48.594322,0 days 00:00:00.133303,,,,,,0.10107279105684064,32,5,3,0.16793253008904407,32,3,3,0.25255113105249666,64.0,3.0,2.0,0.176743566773861,128.0,3.0,1.0,,64,3,,,4,,,,,,,,"{""block_0_dropout"": 0.10107279105684064, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.16793253008904407, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_size"": 3, ""n_blocks"": 4}",PRUNED
