number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
40,0.40112484323630326,2026-09-17 21:48:02.961898,2026-09-17 21:48:05.224313,0 days 00:00:02.262415,0.9654820733221477,0.9929103836923864,0.00946064347974154,0.00125199691791037,200,64,"(3, 7)",32.0,"(5, 7)",,,64,7,0.25149978439433857,36,2,Adam,,,,,,,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.25149978439433857, ""lr_step_size"": 36, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
41,0.82524027770427,2026-09-17 21:48:05.357122,2026-09-17 21:48:16.067554,0 days 00:00:10.710432,0.9092932913338495,0.9718157818064493,0.001806859574810552,2.2661232112240964e-06,200,64,"(3, 7)",16.0,"(5, 7)",32.0,"(3, 5)",64,3,0.30186890970124663,39,3,Adam,,,,47.0,0.834319526627219,0.8161610287813211,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.30186890970124663, ""lr_step_size"": 39, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
42,0.4271898189909041,2026-09-17 21:48:16.193978,2026-09-17 21:48:18.360595,0 days 00:00:02.166617,0.9394826416232709,0.9493842913966821,0.0019456927299772826,0.004063892794436307,256,64,"(3, 7)",16.0,"(5, 7)",,,64,7,0.3371617692169766,38,2,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.3371617692169766, ""lr_step_size"": 38, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
43,0.4758778036978523,2026-09-17 21:48:18.475799,2026-09-17 21:48:20.708915,0 days 00:00:02.233116,0.9037551225563616,0.9904328276420723,0.004779051434303212,0.0002233818188822062,128,64,"(3, 7)",16.0,"(5, 7)",8.0,"(3, 5)",64,7,0.4744413111311177,39,3,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.4744413111311177, ""lr_step_size"": 39, ""n_blocks"": 3, ""optimizer"": ""Adam""}",PRUNED
44,0.838800189252678,2026-09-17 21:48:20.836715,2026-09-17 21:48:32.344081,0 days 00:00:11.507366,0.9247118013253182,0.9593839036495982,0.0010001648689429812,0.0007439970572113334,256,64,"(3, 7)",64.0,"(5, 7)",,,64,7,0.05249741351604613,36,2,Adam,,,,41.0,0.8520710059171598,0.8255293725881961,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.05249741351604613, ""lr_step_size"": 36, ""n_blocks"": 2, ""optimizer"": ""Adam""}",COMPLETE
45,0.3396873473695693,2026-09-17 21:48:32.468295,2026-09-17 21:48:34.421626,0 days 00:00:01.953331,0.8953744725430814,0.9382395350091993,0.007079343704346818,9.182668114555787e-05,256,64,"(3, 7)",,,,,64,7,0.10415400516796766,30,1,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.10415400516796766, ""lr_step_size"": 30, ""n_blocks"": 1, ""optimizer"": ""Adam""}",PRUNED
46,0.2510294598865275,2026-09-17 21:48:34.531219,2026-09-17 21:48:36.882897,0 days 00:00:02.351678,0.9159888554260567,0.9982493182102304,0.0002782894526757016,0.003657999411667243,128,64,"(5, 7)",16.0,"(5, 7)",,,64,7,0.2977470248616283,33,2,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(5, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.2977470248616283, ""lr_step_size"": 33, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
47,0.5245035813211059,2026-09-17 21:48:36.992228,2026-09-17 21:48:39.995315,0 days 00:00:03.003087,0.9328593785200604,0.9664208180292393,0.0022941934868258534,0.001144485802314392,200,64,"(3, 7)",16.0,"(5, 7)",,,64,7,0.37045205622464794,35,2,Adam,,,,,,,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.37045205622464794, ""lr_step_size"": 35, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
48,0.5539426167762117,2026-09-17 21:48:40.145832,2026-09-17 21:48:42.936951,0 days 00:00:02.791119,0.9509088002544662,0.9199265604627659,0.0029699680324508674,1.8350784674928758e-05,128,64,"(3, 7)",,,,,64,7,0.17106193992000107,36,1,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.17106193992000107, ""lr_step_size"": 36, ""n_blocks"": 1, ""optimizer"": ""Adam""}",PRUNED
49,0.20099839087941757,2026-09-17 21:48:43.050523,2026-09-17 21:48:45.358668,0 days 00:00:02.308145,0.9401433705082611,0.9012207923653476,0.00010808525675932221,2.5509928545643953e-06,200,64,"(3, 7)",64.0,"(3, 5)",16.0,"(3, 5)",64,7,0.36264557845729056,30,3,Adam,,,,,,,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.36264557845729056, ""lr_step_size"": 30, ""n_blocks"": 3, ""optimizer"": ""Adam""}",PRUNED
