number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
22,0.2443936440998345,2026-09-17 20:59:46.766257,2026-09-17 21:00:21.379559,0 days 00:00:34.613302,0.8869329324799242,0.951259179322097,0.0004317245761758955,0.0006852420731098953,128.0,0.3499030071258606,16,5,2,0.24413611705485738,64,3,2,0.2066175040015347,128.0,3.0,2.0,,,,,128,32,5,0.31882360254128383,7.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.3499030071258606, ""block_0_filters"": 16, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.24413611705485738, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",PRUNED
23,0.45329647435470305,2026-09-17 21:00:21.517251,2026-09-17 21:03:01.770481,0 days 00:02:40.253230,0.850597686828439,0.9796907712252322,0.0004836978084588489,0.00018834208030556345,128.0,0.14359374850099071,32,5,2,0.2650000998657467,64,3,3,,,,,,,,,128,32,5,0.31865956798826933,10.0,2,Adam,,,,47.0,0.4970414201183432,0.4095515285910629,"{""block_0_dropout"": 0.14359374850099071, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.2650000998657467, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
24,0.4835892304734022,2026-09-17 21:03:01.892896,2026-09-17 21:06:12.939078,0 days 00:03:11.046182,0.9558662660756004,0.9208712221223239,0.0013732414875522033,1.2852352786638927e-05,128.0,0.24810078119485313,32,7,2,0.29795044772017487,64,3,2,,,,,,,,,128,32,7,0.4427467915294681,5.0,2,Adam,,,,43.0,0.5088757396449705,0.45830272130183397,"{""block_0_dropout"": 0.24810078119485313, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""block_1_dropout"": 0.29795044772017487, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",COMPLETE
25,0.2510866095549264,2026-09-17 21:06:13.080701,2026-09-17 21:06:50.139966,0 days 00:00:37.059265,0.955657453370048,0.9184713898757756,0.003922505873382274,7.860422074209677e-06,128.0,0.24994950865959412,32,7,2,0.2925076242272726,64,3,2,,,,,,,,,128,16,7,0.5946096665082586,5.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.24994950865959412, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""block_1_dropout"": 0.2925076242272726, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",PRUNED
26,0.27526863389025935,2026-09-17 21:06:50.247005,2026-09-17 21:07:35.626676,0 days 00:00:45.379671,0.9608374927911438,0.9119281889135596,0.001464506693165615,6.183196694859851e-06,32.0,0.34296580602183135,32,5,2,0.40433329290660536,64,3,2,,,,,,,,,128,32,7,0.48825237324019366,8.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.34296580602183135, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.40433329290660536, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",PRUNED
27,0.21326803346681816,2026-09-17 21:07:35.758018,2026-09-17 21:08:26.187500,0 days 00:00:50.429482,0.9383037235693028,0.9233563967278655,0.008759894607127993,1.2644211556591928e-05,128.0,0.27901930971714806,32,7,2,0.4144492955792942,64,3,2,0.4930809651964778,128.0,3.0,3.0,,,,,128,32,7,0.2612083041992981,5.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.27901930971714806, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""block_1_dropout"": 0.4144492955792942, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",PRUNED
28,0.22334411455290573,2026-09-17 21:08:26.302334,2026-09-17 21:09:03.217798,0 days 00:00:36.915464,,,,,128.0,0.25828644053079947,32,5,2,0.169914037829702,64,3,1,,,,,,,,,64,32,7,0.4370072428802988,14.0,2,SGD,0.004204473343392827,0.7103768822768942,3.8469771076121546e-05,,,,"{""block_0_dropout"": 0.25828644053079947, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.169914037829702, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 1, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",PRUNED
29,0.48612481140190067,2026-09-17 21:09:03.349030,2026-09-17 21:11:38.590881,0 days 00:02:35.241851,0.9215474246851584,0.9512252234908734,0.0013604105692999473,6.346023969088265e-05,128.0,0.36616274167033513,32,5,2,0.24879842003883373,64,3,2,,,,,,,,,128,32,5,0.3306014994638214,11.0,2,Adam,,,,45.0,0.514792899408284,0.4574567233955173,"{""block_0_dropout"": 0.36616274167033513, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.24879842003883373, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
30,0.19871877161976226,2026-09-17 21:11:38.725103,2026-09-17 21:12:10.078955,0 days 00:00:31.353852,0.9183680123553986,0.9513975314502785,0.0005482783702298098,9.424345163779929e-05,128.0,0.3672587984535128,32,5,2,0.2889431539894945,32,3,2,,,,,,,,,128,32,5,0.1927457141926281,11.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.3672587984535128, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.2889431539894945, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",PRUNED
31,0.2486119889468621,2026-09-17 21:12:10.214142,2026-09-17 21:12:56.899129,0 days 00:00:46.684987,0.9532025517133697,0.943715036933841,0.0013781789116173555,5.5715172053268874e-05,128.0,0.17546524822661017,32,3,1,0.3067300923550641,64,3,2,,,,,,,,,128,32,7,0.33452633547632754,12.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.17546524822661017, ""block_0_filters"": 32, ""block_0_kernel"": 3, ""block_0_stride"": 1, ""block_1_dropout"": 0.3067300923550641, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",PRUNED
